source,target,weight_follow,retweet_weight,weight,user_info
162266849,424617920,1.0,0.0,1.0,follow
162266849,20644420,1.0,0.0,1.0,follow
162266849,29927621,1.0,0.0,1.0,follow
162266849,138294089,1.0,0.0,1.0,follow
162266849,3017002076,1.0,0.0,1.0,follow
162266849,272701790,1.0,0.0,1.0,follow
162266849,64855519,1.0,0.0026954177897574125,1.0026954177897571,both
162266849,254941287,1.0,0.0,1.0,follow
162266849,1240932972,1.0,0.0,1.0,follow
162266849,170276973,1.0,0.0,1.0,follow
162266849,376679416,1.0,0.0,1.0,follow
162266849,590023803,1.0,0.0,1.0,follow
38486565,86277690,1.0,0.0,1.0,follow
3063966541,599745022,1.0,0.0,1.0,follow
29424561,3017288564,1.0,0.0,1.0,follow
29424561,436502521,1.0,0.0,1.0,follow
29424561,20644420,1.0,0.0,1.0,follow
35588686,43675137,1.0,0.0026954177897574125,1.0026954177897571,both
35588686,17263897,1.0,0.0,1.0,follow
29406736,1955720384,1.0,0.0,1.0,follow
29406736,20644420,1.0,0.0,1.0,follow
29406736,2831363550,1.0,0.0,1.0,follow
29406736,187138183,1.0,0.0,1.0,follow
29406736,1386366252,1.0,0.0,1.0,follow
29406736,2587278392,1.0,0.0,1.0,follow
29406736,359236505,1.0,0.0,1.0,follow
29406736,340376505,1.0,0.0,1.0,follow
29406736,99233470,1.0,0.0,1.0,follow
38650214,14707553,1.0,0.0,1.0,follow
38650214,2710541450,1.0,0.0,1.0,follow
38650214,397153813,1.0,0.0,1.0,follow
38650214,772477398,1.0,0.0,1.0,follow
38650214,486241691,1.0,0.0,1.0,follow
38650214,23288511,1.0,0.0,1.0,follow
2829213614,2710541450,1.0,0.0,1.0,follow
2829213614,99233470,1.0,0.0,1.0,follow
38290921,33026792,1.0,0.0,1.0,follow
38290921,590023803,1.0,0.0,1.0,follow
38290921,2105021,1.0,0.0,1.0,follow
38290921,2402894750,1.0,0.0,1.0,follow
14473703,21636104,1.0,0.0026954177897574125,1.0026954177897571,both
14473703,2710541450,1.0,0.0,1.0,follow
14473703,31069840,1.0,0.0,1.0,follow
14473703,39935935,1.0,0.0,1.0,follow
264598651,297148960,1.0,0.0,1.0,follow
264598651,20644420,1.0,0.0,1.0,follow
264598651,23747654,1.0,0.0,1.0,follow
264598651,53128314,1.0,0.0,1.0,follow
264598651,39935935,1.0,0.0,1.0,follow
264598651,298498586,1.0,0.0,1.0,follow
264598651,1116121759,1.0,0.0,1.0,follow
247696871,52374272,1.0,0.0,1.0,follow
247696871,2360323201,1.0,0.0,1.0,follow
247696871,36327171,1.0,0.0,1.0,follow
247696871,79459832,1.0,0.0,1.0,follow
247696871,15037961,1.0,0.0,1.0,follow
247696871,31069840,1.0,0.0,1.0,follow
247696871,22116112,1.0,0.0,1.0,follow
247696871,19707925,1.0,0.0,1.0,follow
247696871,2959270807,1.0,0.0,1.0,follow
247696871,2402894750,1.0,0.0,1.0,follow
247696871,38645535,1.0,0.0,1.0,follow
247696871,573614242,1.0,0.0,1.0,follow
247696871,33894316,1.0,0.0,1.0,follow
247696871,157996080,1.0,0.0,1.0,follow
247696871,36951856,1.0,0.0,1.0,follow
247696871,3043106869,1.0,0.0,1.0,follow
247696871,22871737,1.0,0.0,1.0,follow
247696871,39935935,1.0,0.0,1.0,follow
247696871,91351746,1.0,0.0,1.0,follow
247696871,16947907,1.0,0.0,1.0,follow
247696871,20644420,1.0,0.0,1.0,follow
247696871,320171714,1.0,0.0,1.0,follow
247696871,3015585874,1.0,0.0,1.0,follow
247696871,22314584,1.0,0.0,1.0,follow
247696871,135132634,1.0,0.0,1.0,follow
247696871,704903653,1.0,0.0,1.0,follow
247696871,2408638574,1.0,0.0,1.0,follow
247696871,3017288564,1.0,0.0,1.0,follow
247696871,2322065402,1.0,0.0,1.0,follow
247696871,590023803,1.0,0.0,1.0,follow
247696871,599745022,1.0,0.0,1.0,follow
15641984,2273632160,1.0,0.0,1.0,follow
15641984,193700451,1.0,0.0,1.0,follow
15641984,20644420,1.0,0.0,1.0,follow
15641984,77182888,1.0,0.0,1.0,follow
15641984,157996080,1.0,0.0,1.0,follow
15641984,34172656,1.0,0.0,1.0,follow
15641984,153410226,1.0,0.0,1.0,follow
15641984,2459169938,1.0,0.0,1.0,follow
15641984,23053753,1.0,0.0,1.0,follow
15641984,2322065402,1.0,0.0,1.0,follow
15641984,590023803,1.0,0.0,1.0,follow
15641984,99233470,1.0,0.0,1.0,follow
340376505,19580931,1.0,0.0,1.0,follow
340376505,23411203,1.0,0.0,1.0,follow
340376505,129635846,1.0,0.0,1.0,follow
340376505,29406736,1.0,0.0,1.0,follow
340376505,21848593,1.0,0.0,1.0,follow
340376505,1690890258,1.0,0.0,1.0,follow
340376505,42542097,1.0,0.0,1.0,follow
340376505,397153813,1.0,0.0,1.0,follow
340376505,750772255,1.0,0.0,1.0,follow
340376505,431658017,1.0,0.0,1.0,follow
340376505,267601954,1.0,0.0,1.0,follow
340376505,60572195,1.0,0.0,1.0,follow
340376505,23699500,1.0,0.0,1.0,follow
340376505,22874109,1.0,0.0,1.0,follow
340376505,327926324,1.0,0.0,1.0,follow
340376505,297877558,1.0,0.0,1.0,follow
340376505,2587278392,1.0,0.0,1.0,follow
340376505,86277690,1.0,0.0,1.0,follow
340376505,226904642,1.0,0.0,1.0,follow
340376505,20644420,1.0,0.0,1.0,follow
340376505,23747654,1.0,0.0,1.0,follow
340376505,573660240,1.0,0.0,1.0,follow
340376505,3015585874,1.0,0.0,1.0,follow
340376505,21177426,1.0,0.0,1.0,follow
340376505,2992750166,1.0,0.0,1.0,follow
340376505,3017002076,1.0,0.0,1.0,follow
340376505,193700451,1.0,0.0,1.0,follow
340376505,505651301,1.0,0.0,1.0,follow
340376505,254941287,1.0,0.0,1.0,follow
340376505,167283308,1.0,0.0,1.0,follow
340376505,170276973,1.0,0.0,1.0,follow
340376505,2408638574,1.0,0.0,1.0,follow
340376505,53128314,1.0,0.0,1.0,follow
340376505,21184634,1.0,0.0,1.0,follow
340376505,590023803,1.0,0.0,1.0,follow
340376505,2360323201,1.0,0.0,1.0,follow
340376505,198773386,1.0,0.0,1.0,follow
340376505,2710541450,1.0,0.0,1.0,follow
340376505,2459169938,1.0,0.0,1.0,follow
340376505,3063697555,1.0,0.0,1.0,follow
340376505,291612312,1.0,0.0,1.0,follow
340376505,1570350235,1.0,0.0,1.0,follow
340376505,780231324,1.0,0.0,1.0,follow
340376505,1902051997,1.0,0.0,1.0,follow
340376505,1116121759,1.0,0.0,1.0,follow
340376505,27225245,1.0,0.0,1.0,follow
340376505,350209691,1.0,0.0,1.0,follow
340376505,573614242,1.0,0.0,1.0,follow
340376505,1059207842,1.0,0.0,1.0,follow
340376505,26119836,1.0,0.0,1.0,follow
340376505,14711982,1.0,0.0,1.0,follow
340376505,153410226,1.0,0.0,1.0,follow
340376505,543218867,1.0,0.0,1.0,follow
340376505,26989237,1.0,0.0,1.0,follow
340376505,43830965,1.0,0.0,1.0,follow
340376505,22871737,1.0,0.0,1.0,follow
340376505,54062781,1.0,0.0,1.0,follow
340376505,99233470,1.0,0.0,1.0,follow
340376505,1955720384,1.0,0.0,1.0,follow
340376505,16947907,1.0,0.0,1.0,follow
340376505,29927621,1.0,0.0,1.0,follow
340376505,23395026,1.0,0.0,1.0,follow
340376505,2403260629,1.0,0.0,1.0,follow
340376505,220616405,1.0,0.0,1.0,follow
340376505,162266849,1.0,0.0,1.0,follow
340376505,412180717,1.0,0.0,1.0,follow
340376505,34172656,1.0,0.0,1.0,follow
340376505,1593438482,1.0,0.0,1.0,follow
340376505,44496152,1.0,0.0,1.0,follow
340376505,169833243,1.0,0.0,1.0,follow
340376505,38771493,1.0,0.0,1.0,follow
340376505,77050158,1.0,0.0,1.0,follow
340376505,2650794800,1.0,0.0,1.0,follow
340376505,26373938,1.0,0.0,1.0,follow
340376505,714051386,1.0,0.0,1.0,follow
340376505,54517562,1.0,0.0,1.0,follow
340376505,2949949244,1.0,0.0,1.0,follow
340376505,1664719170,1.0,0.0,1.0,follow
340376505,138294089,1.0,0.0,1.0,follow
340376505,39031633,1.0,0.0,1.0,follow
340376505,35084627,1.0,0.0,1.0,follow
340376505,55566167,1.0,0.0,1.0,follow
340376505,1116110186,1.0,0.0,1.0,follow
340376505,1364376428,1.0,0.0,1.0,follow
340376505,131179888,1.0,0.0,1.0,follow
340376505,181892978,1.0,0.0,1.0,follow
340376505,3017288564,1.0,0.0,1.0,follow
340376505,907734912,1.0,0.0,1.0,follow
340376505,68945794,1.0,0.0,1.0,follow
340376505,16896391,1.0,0.0,1.0,follow
340376505,79459832,1.0,0.0,1.0,follow
340376505,431469458,1.0,0.0,1.0,follow
340376505,232728981,1.0,0.0,1.0,follow
340376505,27608469,1.0,0.0,1.0,follow
340376505,359236505,1.0,0.0,1.0,follow
340376505,64980891,1.0,0.0,1.0,follow
340376505,18933150,1.0,0.0,1.0,follow
340376505,77182888,1.0,0.0,1.0,follow
340376505,719655337,1.0,0.0,1.0,follow
340376505,33894316,1.0,0.0,1.0,follow
340376505,39935935,1.0,0.0,1.0,follow
340376505,365105604,1.0,0.0,1.0,follow
340376505,21543880,1.0,0.0,1.0,follow
340376505,2831363550,1.0,0.0,1.0,follow
340376505,704903653,1.0,0.0,1.0,follow
340376505,526411749,1.0,0.0,1.0,follow
340376505,482583016,1.0,0.0,1.0,follow
340376505,2294201833,1.0,0.0,1.0,follow
340376505,180999150,1.0,0.0,1.0,follow
340376505,338821106,1.0,0.0,1.0,follow
340376505,376679416,1.0,0.0,1.0,follow
340376505,436502521,1.0,0.0,1.0,follow
340376505,2322065402,1.0,0.0,1.0,follow
340376505,290281469,1.0,0.0,1.0,follow
340376505,599745022,1.0,0.0,1.0,follow
33134609,297148960,1.0,0.0,1.0,follow
33134609,17227586,1.0,0.0,1.0,follow
33134609,556661091,1.0,0.0,1.0,follow
33134609,20644420,1.0,0.0,1.0,follow
33134609,130417544,1.0,0.0,1.0,follow
33134609,19178668,1.0,0.0,1.0,follow
33134609,14711982,1.0,0.0,1.0,follow
33134609,772477398,1.0,0.0,1.0,follow
22729966,31069840,1.0,0.0,1.0,follow
3006153780,178183112,1.0,0.0,1.0,follow
3006153780,99233470,1.0,0.0,1.0,follow
3006153780,35084627,1.0,0.0,1.0,follow
3006153780,436502521,1.0,0.0,1.0,follow
3006153780,590023803,1.0,0.0,1.0,follow
3006153780,2105021,1.0,0.0,1.0,follow
3006153780,599745022,1.0,0.0,1.0,follow
1580228064,1965776832,1.0,0.0,1.0,follow
1580228064,23411203,1.0,0.0,1.0,follow
1580228064,20644420,1.0,0.0,1.0,follow
1580228064,23747654,1.0,0.0,1.0,follow
1580228064,187138183,1.0,0.0,1.0,follow
1580228064,169326150,1.0,0.0,1.0,follow
1580228064,54062781,1.0,0.0,1.0,follow
1580228064,2710541450,1.0,0.0,1.0,follow
1580228064,260677385,1.0,0.0,1.0,follow
1580228064,99233470,1.0,0.0,1.0,follow
